nombre_receta,calorias_kcal,proteinas_g,carbohidratos_g,grasas_g,ingredientes,preparacion
Avena overnight con whey y banana,420,34,61,6,"Avena 50g; Whey 25g; Leche descremada 150ml; Banana 80g; Canela","Mezclar todo en un frasco y dejar 6–12h en heladera. Ideal: desayuno completo o pre-entreno si te cae bien la fibra."
Yogur griego alto en proteína con avena y frutos rojos,363,33,50,3,"Yogur griego 0% 250g; Avena 40g; Frutos rojos 120g; Endulzante opcional","Armar en bowl y mezclar. Ideal: rápido, alto en proteína."
Avena caliente con claras y canela,326,30,42,4,"Avena 50g; Claras 150g; Leche descremada 150ml; Canela","Cocinar avena con leche; con el fuego bajo, incorporar claras en hilo y revolver 60–90s. Ideal: saciante, alta proteína."
Panqueques de avena con whey,405,46,33,9,"Avena 45g; Whey 20g; Claras 150g; Huevo 1 (50g); Polvo de hornear","Licuar, cocinar en sartén antiadherente 2–3 min por lado. Ideal: post-entreno o desayuno fuerte."
Skyr con banana y mantequilla de maní,327,32,35,8,"Skyr 250g; Banana 100g; Mantequilla de maní 15g","Mezclar y servir. Ideal: rápido, balanceado."
Tostadas integrales con huevos revueltos,362,19,32,17,"Pan integral 2 rodajas (70g); Huevos 2 (100g); Aceite de oliva 5g; Sal","Tostar pan; hacer huevos revueltos con poco aceite. Ideal: desayuno clásico de gym."
Omelette de claras con espinaca y queso light,243,37,5,8,"Claras 250g; Espinaca 80g; Queso light 25g; Aceite de oliva 5g; Sal","Saltear espinaca, agregar claras y cocinar; sumar queso al final. Ideal: proteína alta, carb bajo."
Wrap integral de huevo y pavo,422,34,34,17,"Tortilla integral 1 (60g); Huevos 2 (100g); Pechuga de pavo 80g; Espinaca 40g","Cocinar huevos, armar el wrap con pavo y espinaca, enrollar. Ideal: grab & go."
Tostadas integrales con palta y huevo,358,14,38,18,"Pan integral 2 rodajas (70g); Palta 70g; Huevo 1 (50g); Limón","Untar palta, agregar huevo y limón. Ideal: más grasas; mejor si no entrenás inmediato."
Tostadas integrales con atún y tomate,358,38,32,9,"Pan integral 2 rodajas (70g); Atún al agua 120g; Tomate 120g; Aceite de oliva 5g","Mezclar atún con tomate y aceite; servir sobre tostadas. Ideal: proteína alta."
Smoothie whey + banana + avena,416,37,60,5,"Whey 30g; Banana 120g; Avena 30g; Leche descremada 200ml; Hielo","Licuar todo. Ideal: pre-entreno 60–120 min o desayuno rápido completo."
Smoothie de café con whey,210,32,16,2,"Whey 30g; Leche descremada 250ml; Café frío 150ml; Hielo","Licuar o agitar. Ideal: pre-entreno liviano (baja grasa/fibra)."
Pudding de chía con yogur y frutos rojos,290,25,30,8,"Chía 25g; Yogur griego 0% 200g; Frutos rojos 100g; Esencia de vainilla","Mezclar y dejar 2–4h en heladera. Ideal: saciante, más fibra (no ideal justo antes de entrenar)."
Mugcake proteico de avena y cacao,292,30,34,5,"Avena 40g; Whey 25g; Leche descremada 100ml; Cacao amargo 5–10g","Mezclar en taza y micro 60–90s (según potencia). Ideal: rápido, dulce fitness."
Cottage con fruta y miel,347,28,36,11,"Queso cottage 250g; Banana 80g; Miel 10g; Canela opcional","Servir cottage con fruta y miel. Ideal: proteína alta, sin cocina."
Porridge de quinoa con fruta,398,16,72,5,"Quinoa cocida 250g; Leche descremada 150ml; Banana 50g; Canela","Calentar quinoa con leche; agregar fruta. Ideal: carb alto (rendimiento)."
Muffins de huevo y vegetales (meal prep),320,37,4,17,"Huevos 3 (150g); Claras 100g; Espinaca 60g; Queso light 20g; Sal","Mezclar, volcar en moldes y hornear 15–20 min. Ideal: dejar hechos para la semana."
Hash de batata con huevos,402,17,51,15,"Batata 250g; Huevos 2 (100g); Aceite de oliva 5g; Sal","Saltear batata en cubos hasta dorar y sumar huevos. Ideal: energía alta, mejor pre-entreno largo."
Bagel thin con salmón y queso crema light,390,25,38,14,"Bagel thin o pan tipo bagel 80g; Salmón ahumado 80g; Queso crema light 40g; Pepino 80g","Untar queso, agregar salmón y pepino. Ideal: variedad y proteína moderada."
Tostadas integrales con hummus y huevo,346,17,40,13,"Pan integral 2 rodajas (70g); Hummus 60g; Huevo 1 (50g); Pimentón opcional","Untar hummus y sumar huevo. Ideal: opción plant-forward, fácil."
