recipe_id,name,meal_type,servings,prep_time_min,ingredients,kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,fiber_g_per_serving,instructions
R0001,Pudding de chia con manzana,postre,1,25,"[{""ingredient"": ""cacao amargo"", ""grams"": 21}, {""ingredient"": ""leche descremada"", ""grams"": 157}, {""ingredient"": ""manzana"", ""grams"": 91}, {""ingredient"": ""semillas de chia"", ""grams"": 25}]",271.6,14.0,43.1,11.0,18.5,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0002,Tostadas integrales con tempeh y tomate,desayuno,1,8,"[{""ingredient"": ""almendras"", ""grams"": 34}, {""ingredient"": ""pan integral"", ""grams"": 80}, {""ingredient"": ""tempeh"", ""grams"": 95}, {""ingredient"": ""tomate"", ""grams"": 99}]",595.6,37.4,52.7,31.0,10.9,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0003,Wrap fitness de claras de huevo con cebolla y mostaza,almuerzo,1,28,"[{""ingredient"": ""arroz blanco cocido"", ""grams"": 100}, {""ingredient"": ""cebolla"", ""grams"": 135}, {""ingredient"": ""claras de huevo"", ""grams"": 176}]",275.5,23.2,41.8,0.8,2.7,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0004,Wrap fitness de pechuga de pollo cocida con pepino y salsa de soja,almuerzo,1,29,"[{""ingredient"": ""aceite de oliva"", ""grams"": 18}, {""ingredient"": ""pechuga de pollo cocida"", ""grams"": 121}, {""ingredient"": ""pepino"", ""grams"": 150}, {""ingredient"": ""quinoa cocida"", ""grams"": 174}]",591.6,46.2,42.5,25.8,5.6,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
R0005,Salmon con quinoa cocida y ensalada,cena,1,39,"[{""ingredient"": ""limon"", ""grams"": 7}, {""ingredient"": ""porotos negros cocidos"", ""grams"": 94}, {""ingredient"": ""quinoa cocida"", ""grams"": 138}, {""ingredient"": ""zanahoria"", ""grams"": 68}]",319.6,15.2,59.1,3.2,14.1,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0006,Tostadas integrales con huevo entero y zapallito,desayuno,2,16,"[{""ingredient"": ""huevo entero"", ""grams"": 93}, {""ingredient"": ""pan integral"", ""grams"": 100}, {""ingredient"": ""zapallito"", ""grams"": 169}]",204.4,13.6,23.6,6.8,4.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0007,Pollo con tortilla de trigo y zapallito,almuerzo,1,31,"[{""ingredient"": ""aceite de oliva"", ""grams"": 24}, {""ingredient"": ""mostaza"", ""grams"": 22}, {""ingredient"": ""pavo cocido"", ""grams"": 96}, {""ingredient"": ""tortilla de trigo"", ""grams"": 178}, {""ingredient"": ""zapallito"", ""grams"": 157}]",941.0,44.8,95.2,41.7,9.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0008,Pudding de chia con frutillas,postre,1,25,"[{""ingredient"": ""bebida vegetal sin azucar"", ""grams"": 278}, {""ingredient"": ""cacao amargo"", ""grams"": 8}, {""ingredient"": ""frutillas"", ""grams"": 177}, {""ingredient"": ""semillas de chia"", ""grams"": 29}]",271.4,10.5,36.0,14.0,16.9,Mezclá las semillas con la leche. Dejá reposar 2-4h en heladera. Sumá la fruta al servir.
R0009,Salmon con quinoa cocida y ensalada,cena,1,12,"[{""ingredient"": ""lentejas cocidas"", ""grams"": 108}, {""ingredient"": ""mantequilla de mani"", ""grams"": 17}, {""ingredient"": ""quinoa cocida"", ""grams"": 172}, {""ingredient"": ""zanahoria"", ""grams"": 138}]",488.2,22.8,74.9,12.5,18.3,Prepará y pesá los ingredientes. Cociná o mezclá según corresponda. Armá el plato y ajustá sal/condimentos a gusto.
R0010,Wrap fitness de yogur griego descremado con zanahoria y salsa de soja,almuerzo,2,38,"[{""ingredient"": ""tortilla de trigo"", ""grams"": 159}, {""ingredient"": ""yogur griego descremado"", ""grams"": 131}, {""ingredient"": ""zanahoria"", ""grams"": 162}]",310.4,13.6,49.9,6.0,5.4,Calentá la tortilla 10-20s. Rellená con la proteína y verduras. Agregá el condimento/salsa y enrollá.
